Country Name,Country Code,Year,Progression,SlumPopulation,Region
Burundi,BDI,2004,58.18,77.04,Sub-Saharan Africa
Cabo Verde,CPV,2004,93.74,66.26,Sub-Saharan Africa
Cambodia,KHM,2004,84.4,73.6,East Asia & Pacific
Cayman Islands,CYM,2004,98.68,4.15,Latin America & Caribbean
Central African Republic,CAF,2004,76.44,80.28,Sub-Saharan Africa
Chad,TCD,2004,66.62,89.33,Sub-Saharan Africa
Colombia,COL,2004,99.62,18.49,Latin America & Caribbean
"Congo, Rep.",COG,2004,70.11,84.69,Sub-Saharan Africa
Costa Rica,CRI,2004,96.81,10.87,Latin America & Caribbean
Cuba,CUB,2004,98.67,2.15,Latin America & Caribbean
Cyprus,CYP,2004,99.68,0.2,Europe & Central Asia
Czechia,CZE,2004,99.86,0.05,Europe & Central Asia
Denmark,DNK,2004,99.69,0.0,Europe & Central Asia
Djibouti,DJI,2004,91.35,72.36,Middle East & North Africa
Ecuador,ECU,2004,78.59,57.8,Latin America & Caribbean
Eritrea,ERI,2004,93.94,72.36,Sub-Saharan Africa
Estonia,EST,2004,99.95,0.05,Europe & Central Asia
Eswatini,SWZ,2004,95.3,55.35,Sub-Saharan Africa
Ethiopia,ETH,2004,99.05,85.98,Sub-Saharan Africa
Finland,FIN,2004,99.97,0.0,Europe & Central Asia
"Gambia, The",GMB,2004,86.87,53.32,Sub-Saharan Africa
Georgia,GEO,2004,97.94,13.21,Europe & Central Asia
Germany,DEU,2004,99.82,0.0,Europe & Central Asia
Ghana,GHA,2004,97.44,53.65,Sub-Saharan Africa
Greece,GRC,2004,99.42,0.25,Europe & Central Asia
Guatemala,GTM,2004,92.75,51.02,Latin America & Caribbean
Guinea,GIN,2004,83.08,42.33,Sub-Saharan Africa
Hungary,HUN,2004,99.66,12.9,Europe & Central Asia
Iceland,ISL,2004,99.45,0.0,Europe & Central Asia
Indonesia,IDN,2004,78.59,31.82,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2004,90.97,55.97,Middle East & North Africa
Italy,ITA,2004,99.63,0.02,Europe & Central Asia
Kazakhstan,KAZ,2004,99.92,18.89,Europe & Central Asia
Kuwait,KWT,2004,96.82,0.0,Middle East & North Africa
Kyrgyz Republic,KGZ,2004,99.08,38.21,Europe & Central Asia
Lao PDR,LAO,2004,81.98,47.5,East Asia & Pacific
Latvia,LVA,2004,99.4,2.4,Europe & Central Asia
Lebanon,LBN,2004,95.76,92.4,Middle East & North Africa
Lesotho,LSO,2004,74.31,58.6,Sub-Saharan Africa
Lithuania,LTU,2004,99.27,3.3,Europe & Central Asia
Madagascar,MDG,2004,73.44,86.63,Sub-Saharan Africa
Malawi,MWI,2004,82.15,74.38,Sub-Saharan Africa
Maldives,MDV,2004,92.18,41.54,South Asia
Mali,MLI,2004,81.33,75.49,Sub-Saharan Africa
Malta,MLT,2004,99.28,0.04,Middle East & North Africa
